tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0004902	movie	The Apaches of Paris	The Apaches of Paris	0	1915	\N	\N	Drama
tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915	\N	195	Drama,History,War
tt0006864	movie	Intolerance: Love's Struggle Throughout the Ages	Intolerance: Love's Struggle Throughout the Ages	0	1916	\N	163	Drama,History
tt0009968	movie	Broken Blossoms	Broken Blossoms or The Yellow Man and the Girl	0	1919	\N	90	Drama,Romance
tt0012532	movie	Orphans of the Storm	Orphans of the Storm	0	1921	\N	150	Drama,History,Romance
tt0015864	movie	The Gold Rush	The Gold Rush	0	1925	\N	95	Adventure,Comedy,Drama
tt0016332	movie	Seven Chances	Seven Chances	0	1925	\N	56	Comedy,Romance
tt0017136	movie	Metropolis	Metropolis	0	1927	\N	153	Drama,Sci-Fi
tt0017925	movie	The General	The General	0	1926	\N	67	Action,Adventure,Comedy
tt0018684	movie	Beggars of Life	Beggars of Life	0	1928	\N	100	Adventure,Drama
tt0018737	movie	Pandora's Box	Die Büchse der Pandora	0	1929	\N	109	Crime,Drama,Romance
tt0018742	movie	The Cameraman	The Cameraman	0	1928	\N	69	Comedy,Drama,Family
tt0019421	movie	Steamboat Bill, Jr.	Steamboat Bill, Jr.	0	1928	\N	70	Action,Comedy,Drama
tt0020475	movie	Diary of a Lost Girl	Tagebuch einer Verlorenen	0	1929	\N	104	Drama
tt0020530	short	Un Chien Andalou	Un chien andalou	0	1929	\N	16	Fantasy,Horror,Short
tt0020640	movie	Animal Crackers	Animal Crackers	0	1930	\N	97	Comedy,Musical
tt0020697	movie	The Blue Angel	Der blaue Engel	0	1930	\N	106	Drama,Music
tt0021273	movie	Beauty Prize	Prix de beauté (Miss Europe)	0	1930	\N	93	Drama
tt0021749	movie	City Lights	City Lights	0	1931	\N	87	Comedy,Drama,Romance
tt0021884	movie	Frankenstein	Frankenstein	0	1931	\N	70	Drama,Horror,Sci-Fi
tt0022100	movie	M	M	0	1931	\N	117	Crime,Drama,Mystery
tt0023236	movie	The Monster Walks	The Monster Walks	0	1932	\N	63	Horror
tt0023245	movie	The Mummy	The Mummy	0	1932	\N	73	Fantasy,Horror
tt0023563	movie	The Testament of Dr. Mabuse	Das Testament des Dr. Mabuse	0	1933	\N	122	Crime
tt0023969	movie	Duck Soup	Duck Soup	0	1933	\N	68	Comedy,Musical,War
tt0025073	movie	The Dude Ranger	The Dude Ranger	0	1934	\N	65	Action,Comedy,Western
tt0025316	movie	It Happened One Night	It Happened One Night	0	1934	\N	105	Comedy,Romance
tt0025452	movie	The Man Who Knew Too Much	The Man Who Knew Too Much	0	1934	\N	75	Crime,Mystery,Thriller
tt0025712	movie	The Return of Chandu	The Return of Chandu	0	1934	\N	208	Adventure,Fantasy,Horror
tt0025713	movie	The Return of Chandu	The Return of Chandu	0	1934	\N	65	Adventure,Fantasy,Horror
tt0026138	movie	Bride of Frankenstein	Bride of Frankenstein	0	1935	\N	75	Drama,Horror,Sci-Fi
tt0026195	movie	Chandu on the Magic Island	Chandu on the Magic Island	0	1935	\N	70	Adventure,Fantasy
tt0026752	movie	Mutiny on the Bounty	Mutiny on the Bounty	0	1935	\N	132	Adventure,Biography,Drama
tt0026778	movie	A Night at the Opera	A Night at the Opera	0	1935	\N	96	Comedy,Music,Musical
tt0026942	movie	Roberta	Roberta	0	1935	\N	106	Comedy,Musical,Romance
tt0027125	movie	Top Hat	Top Hat	0	1935	\N	101	Comedy,Musical,Romance
tt0027442	movie	Charlie Chan's Secret	Charlie Chan's Secret	0	1936	\N	72	Comedy,Crime,Horror
tt0027652	movie	Fury	Fury	0	1936	\N	92	Crime,Drama,Film-Noir
tt0027977	movie	Modern Times	Modern Times	0	1936	\N	87	Comedy,Drama,Family
tt0027996	movie	Mr. Deeds Goes to Town	Mr. Deeds Goes to Town	0	1936	\N	115	Comedy,Drama,Romance
tt0028988	movie	Heidi	Heidi	0	1937	\N	88	Drama,Family,Musical
tt0029583	movie	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs	0	1937	\N	83	Animation,Family,Fantasy
tt0029843	movie	The Adventures of Robin Hood	The Adventures of Robin Hood	0	1938	\N	102	Action,Adventure,Romance
tt0029852	movie	Alexander's Ragtime Band	Alexander's Ragtime Band	0	1938	\N	106	Drama,Musical,Romance
tt0029870	movie	Angels with Dirty Faces	Angels with Dirty Faces	0	1938	\N	97	Crime,Drama,Film-Noir
tt0030287	movie	Jezebel	Jezebel	0	1938	\N	104	Drama,Romance
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	\N	238	Drama,History,Romance
tt0031580	movie	The Little Princess	The Little Princess	0	1939	\N	93	Comedy,Drama,Family
tt0031679	movie	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	0	1939	\N	129	Comedy,Drama
tt0031971	movie	Stagecoach	Stagecoach	0	1939	\N	96	Adventure,Western
